time_of_day,day_type,season,weather,visibility,road_type,road_curvature,junction,traffic_density,avg_speed,heavy_vehicle_presence,lighting,road_condition,accident_occured
evening,weekday,summer,fog,poor,highway,sharp,1,medium,60,0,poor,wet,0
morning,weekend,summer,fog,medium,urban,straight,1,low,28,0,poor,damaged,1
morning,weekend,summer,cloudy,medium,highway,straight,1,medium,72,0,poor,dry,0
afternoon,weekday,summer,heavy_rain,poor,highway,sharp,0,medium,25,0,good,damaged,0
evening,weekday,summer,heavy_rain,poor,rural,sharp,1,medium,47,1,good,dry,0
morning,weekend,winter,fog,good,highway,sharp,0,high,53,1,poor,dry,1
night,weekend,summer,cloudy,medium,highway,straight,1,low,55,0,good,damaged,0
evening,weekday,summer,rain,good,rural,straight,1,high,55,1,poor,dry,1
evening,weekend,winter,heavy_rain,good,urban,straight,1,medium,51,1,poor,dry,0
night,weekday,monsoon,cloudy,medium,urban,straight,1,medium,31,0,poor,damaged,0
morning,weekend,summer,clear,medium,urban,moderate,1,high,44,1,poor,damaged,1
morning,weekend,winter,heavy_rain,good,highway,sharp,1,medium,80,1,good,damaged,0
night,weekend,summer,fog,poor,urban,straight,1,medium,47,1,poor,dry,0
evening,weekend,monsoon,fog,good,urban,sharp,0,low,71,0,poor,wet,0
night,weekday,summer,cloudy,medium,highway,moderate,1,low,35,0,poor,dry,1
afternoon,weekend,summer,fog,medium,rural,moderate,0,high,90,0,poor,damaged,1
afternoon,weekday,summer,clear,medium,highway,moderate,1,low,35,1,poor,damaged,0
afternoon,weekend,winter,cloudy,good,urban,moderate,0,medium,22,0,good,dry,0
morning,weekend,monsoon,cloudy,poor,highway,moderate,0,low,62,0,good,wet,0
morning,weekday,winter,rain,good,highway,moderate,1,low,67,1,poor,dry,0
evening,weekend,winter,clear,poor,highway,sharp,1,low,57,1,good,damaged,1
evening,weekend,summer,rain,poor,urban,straight,0,medium,47,0,poor,damaged,1
afternoon,weekend,winter,rain,good,urban,sharp,1,low,32,1,poor,dry,0
evening,weekend,summer,cloudy,medium,urban,sharp,1,high,75,0,good,damaged,0
morning,weekend,winter,cloudy,medium,highway,straight,1,low,79,0,poor,damaged,0
evening,weekday,winter,fog,medium,urban,straight,0,medium,83,1,poor,wet,0
afternoon,weekday,monsoon,rain,good,urban,sharp,1,high,38,1,good,damaged,0
morning,weekend,summer,cloudy,good,rural,moderate,0,high,83,1,good,dry,0
evening,weekday,summer,clear,medium,highway,sharp,1,medium,26,1,good,damaged,0
night,weekday,winter,rain,medium,urban,sharp,1,low,44,1,good,dry,0
afternoon,weekday,winter,fog,medium,highway,sharp,1,medium,81,1,good,dry,1
morning,weekend,winter,cloudy,poor,rural,straight,0,low,64,1,good,wet,0
morning,weekday,summer,clear,poor,urban,straight,0,low,72,1,good,damaged,1
morning,weekday,monsoon,clear,poor,urban,moderate,0,high,25,1,good,damaged,0
morning,weekend,summer,rain,good,urban,sharp,1,low,76,1,good,damaged,0
afternoon,weekend,summer,heavy_rain,good,rural,moderate,0,high,33,0,good,damaged,0
morning,weekend,winter,heavy_rain,good,urban,sharp,0,low,73,0,poor,damaged,1
afternoon,weekday,summer,heavy_rain,medium,urban,straight,1,high,69,0,poor,damaged,0
morning,weekday,monsoon,heavy_rain,good,urban,moderate,0,low,39,0,good,dry,0
morning,weekend,summer,fog,medium,rural,moderate,1,low,41,1,poor,damaged,1
morning,weekend,monsoon,clear,poor,rural,straight,1,high,46,1,poor,wet,0
afternoon,weekday,summer,cloudy,poor,urban,sharp,1,medium,40,0,good,damaged,0
evening,weekend,monsoon,heavy_rain,poor,highway,straight,0,medium,27,0,poor,wet,0
evening,weekday,summer,heavy_rain,poor,urban,moderate,0,medium,68,1,good,wet,0
morning,weekend,winter,cloudy,good,urban,straight,1,high,47,1,good,dry,0
morning,weekday,summer,cloudy,poor,highway,straight,1,low,75,1,poor,dry,0
afternoon,weekend,winter,fog,good,highway,sharp,0,low,33,1,good,damaged,1
night,weekday,monsoon,heavy_rain,poor,rural,sharp,0,low,32,0,poor,dry,0
evening,weekend,winter,cloudy,medium,rural,straight,1,medium,66,0,good,wet,0
morning,weekday,winter,fog,good,highway,straight,1,high,53,1,good,wet,1
morning,weekday,monsoon,clear,medium,highway,moderate,1,high,43,0,poor,dry,1
evening,weekend,monsoon,rain,poor,rural,straight,1,low,35,0,poor,dry,0
morning,weekend,monsoon,heavy_rain,poor,rural,moderate,0,low,29,1,good,damaged,0
morning,weekday,winter,rain,good,rural,sharp,1,medium,74,1,good,damaged,1
night,weekday,monsoon,clear,good,rural,sharp,1,medium,83,1,good,damaged,0
evening,weekend,monsoon,clear,medium,highway,sharp,0,low,71,0,poor,dry,0
night,weekday,monsoon,clear,poor,urban,moderate,0,high,69,1,poor,damaged,0
night,weekend,summer,clear,good,rural,moderate,1,medium,69,1,poor,wet,0
night,weekend,monsoon,clear,good,rural,straight,1,low,83,1,poor,dry,1
afternoon,weekday,winter,fog,poor,rural,moderate,1,medium,65,0,poor,dry,1
evening,weekend,monsoon,clear,poor,rural,sharp,1,high,56,0,poor,dry,0
evening,weekday,monsoon,cloudy,medium,urban,sharp,0,low,72,1,good,damaged,0
morning,weekend,summer,rain,poor,rural,straight,1,high,58,0,good,wet,1
night,weekend,winter,fog,medium,urban,moderate,1,low,31,0,poor,wet,0
night,weekend,summer,rain,good,urban,straight,0,high,43,0,poor,wet,0
evening,weekend,summer,heavy_rain,good,highway,straight,1,medium,60,1,poor,wet,1
evening,weekend,monsoon,fog,medium,rural,straight,1,high,88,0,good,dry,1
morning,weekend,summer,heavy_rain,poor,urban,moderate,1,low,37,0,poor,wet,0
evening,weekend,winter,rain,medium,rural,moderate,0,low,51,1,good,wet,0
morning,weekend,monsoon,cloudy,poor,rural,moderate,0,high,73,1,good,damaged,0
evening,weekend,winter,fog,good,urban,straight,0,high,47,1,good,damaged,1
morning,weekend,monsoon,fog,medium,rural,straight,0,medium,20,0,good,damaged,0
morning,weekday,winter,rain,poor,highway,straight,1,medium,39,1,good,dry,0
night,weekend,winter,cloudy,medium,urban,sharp,1,medium,75,1,good,damaged,0
evening,weekday,summer,heavy_rain,medium,highway,moderate,1,low,24,0,good,damaged,0
morning,weekday,winter,fog,poor,rural,straight,1,high,35,0,poor,damaged,0
afternoon,weekend,summer,heavy_rain,medium,urban,sharp,1,low,38,1,good,wet,0
night,weekday,monsoon,heavy_rain,good,urban,sharp,0,low,35,1,poor,damaged,0
morning,weekday,winter,rain,good,highway,straight,1,high,24,1,poor,wet,1
evening,weekday,winter,rain,good,urban,moderate,0,medium,49,0,good,dry,0
evening,weekend,summer,cloudy,poor,highway,moderate,0,high,65,1,poor,damaged,0
evening,weekday,winter,clear,medium,highway,moderate,0,high,37,0,good,dry,0
morning,weekend,monsoon,rain,poor,urban,straight,1,medium,50,1,poor,wet,0
night,weekend,winter,heavy_rain,poor,rural,straight,0,low,35,1,good,damaged,0
morning,weekday,monsoon,rain,medium,urban,sharp,0,low,22,1,good,dry,0
afternoon,weekday,winter,clear,good,rural,sharp,1,medium,84,0,poor,wet,0
evening,weekday,monsoon,cloudy,poor,rural,straight,0,low,24,0,good,wet,0
afternoon,weekend,winter,fog,poor,highway,straight,0,low,63,1,poor,wet,0
night,weekend,winter,fog,poor,urban,straight,1,low,63,1,poor,damaged,1
evening,weekday,winter,heavy_rain,good,rural,sharp,1,low,62,0,poor,wet,1
night,weekday,summer,fog,good,highway,sharp,0,low,21,1,good,wet,1
evening,weekday,monsoon,rain,good,highway,sharp,0,high,75,0,good,wet,1
afternoon,weekend,winter,rain,poor,urban,straight,1,low,21,0,poor,wet,0
night,weekend,summer,rain,medium,urban,moderate,1,medium,67,1,poor,dry,0
evening,weekday,monsoon,cloudy,medium,highway,straight,1,medium,87,1,good,dry,0
morning,weekday,winter,cloudy,poor,urban,straight,0,low,43,0,good,dry,0
evening,weekend,winter,rain,poor,highway,sharp,0,high,61,1,poor,wet,0
evening,weekend,monsoon,fog,poor,rural,sharp,0,medium,85,1,poor,damaged,1
evening,weekday,monsoon,heavy_rain,good,rural,sharp,0,high,87,0,good,wet,0
evening,weekday,monsoon,fog,poor,rural,moderate,0,low,82,1,good,dry,0
morning,weekday,winter,heavy_rain,good,highway,sharp,0,high,85,1,good,damaged,1
afternoon,weekday,summer,fog,poor,highway,sharp,1,low,69,1,poor,wet,0
night,weekday,summer,clear,good,urban,sharp,1,high,44,1,poor,damaged,0
morning,weekend,winter,clear,good,highway,moderate,0,low,39,0,poor,wet,0
afternoon,weekend,summer,fog,medium,urban,moderate,0,low,38,1,poor,wet,0
night,weekend,monsoon,rain,poor,urban,moderate,1,high,78,1,poor,wet,0
morning,weekday,winter,clear,poor,highway,moderate,1,low,47,1,good,damaged,0
afternoon,weekday,monsoon,clear,poor,rural,straight,1,high,27,1,good,wet,1
afternoon,weekday,summer,fog,good,rural,moderate,1,low,49,1,good,wet,0
evening,weekend,monsoon,cloudy,good,rural,straight,1,high,25,0,poor,dry,0
evening,weekday,monsoon,fog,good,urban,moderate,1,low,45,0,poor,wet,0
morning,weekday,monsoon,fog,poor,highway,sharp,1,medium,47,0,good,wet,0
night,weekday,winter,fog,medium,urban,sharp,1,low,34,0,good,dry,0
morning,weekend,winter,fog,poor,highway,moderate,0,high,35,1,good,dry,0
night,weekday,summer,rain,poor,highway,moderate,1,medium,88,1,good,dry,0
evening,weekend,summer,heavy_rain,medium,highway,straight,1,medium,43,1,poor,dry,0
morning,weekend,summer,fog,good,urban,moderate,0,high,37,1,good,wet,0
afternoon,weekend,winter,heavy_rain,medium,highway,moderate,1,low,21,1,good,damaged,0
evening,weekday,monsoon,clear,poor,highway,straight,0,low,72,1,good,wet,1
afternoon,weekday,summer,cloudy,good,urban,moderate,0,high,74,0,good,dry,0
afternoon,weekend,summer,clear,medium,rural,sharp,0,low,44,1,poor,dry,0
morning,weekend,winter,cloudy,poor,rural,straight,1,low,65,1,good,wet,0
morning,weekday,summer,cloudy,medium,rural,straight,1,high,66,0,good,wet,0
morning,weekend,monsoon,rain,poor,highway,straight,1,low,51,1,poor,wet,0
morning,weekday,monsoon,heavy_rain,medium,urban,moderate,0,high,40,0,good,dry,0
morning,weekend,monsoon,rain,poor,rural,sharp,1,high,84,0,good,wet,1
evening,weekend,winter,cloudy,good,highway,sharp,0,medium,40,1,good,dry,0
afternoon,weekend,summer,rain,poor,urban,sharp,0,low,69,0,good,damaged,0
evening,weekday,summer,cloudy,poor,rural,moderate,1,low,44,1,poor,damaged,0
night,weekday,monsoon,cloudy,medium,rural,sharp,0,low,38,1,good,dry,1
night,weekday,summer,rain,good,rural,sharp,0,low,63,1,good,wet,0
afternoon,weekend,winter,clear,good,rural,moderate,0,low,27,1,good,damaged,0
night,weekday,summer,rain,good,urban,sharp,0,high,59,0,poor,dry,0
evening,weekend,winter,rain,medium,highway,moderate,1,low,85,1,poor,dry,0
night,weekend,monsoon,rain,poor,rural,moderate,1,medium,56,0,poor,dry,0
morning,weekday,summer,rain,medium,highway,sharp,1,medium,35,1,poor,damaged,1
night,weekday,monsoon,rain,good,urban,moderate,1,medium,85,1,poor,damaged,0
night,weekend,winter,cloudy,good,urban,moderate,0,medium,63,1,good,damaged,0
evening,weekday,winter,clear,good,rural,straight,0,low,58,1,good,dry,0
morning,weekday,summer,heavy_rain,poor,rural,moderate,1,medium,48,0,poor,damaged,0
morning,weekend,summer,rain,poor,urban,moderate,1,high,68,1,poor,damaged,0
afternoon,weekday,summer,clear,poor,highway,straight,0,medium,58,0,good,dry,0
night,weekday,summer,rain,medium,rural,moderate,0,low,68,1,good,wet,1
morning,weekend,monsoon,cloudy,medium,urban,straight,1,medium,32,0,good,dry,0
night,weekday,monsoon,heavy_rain,medium,highway,straight,1,medium,40,0,poor,dry,0
afternoon,weekend,summer,heavy_rain,medium,urban,moderate,1,high,31,1,good,damaged,1
evening,weekend,summer,heavy_rain,poor,urban,moderate,1,medium,84,1,good,dry,0
night,weekday,summer,fog,good,highway,sharp,1,medium,42,1,good,damaged,1
afternoon,weekday,summer,clear,medium,urban,moderate,1,medium,75,1,poor,dry,0
afternoon,weekend,summer,heavy_rain,medium,rural,straight,0,high,81,1,good,dry,0
afternoon,weekend,summer,clear,good,urban,sharp,1,medium,83,1,poor,damaged,0
afternoon,weekend,summer,clear,good,rural,moderate,0,high,32,1,poor,dry,0
afternoon,weekday,summer,fog,good,rural,straight,1,high,51,1,good,dry,0
morning,weekday,summer,cloudy,poor,rural,moderate,1,high,83,0,poor,damaged,1
afternoon,weekday,winter,clear,medium,urban,sharp,0,high,34,0,poor,damaged,1
afternoon,weekend,summer,cloudy,medium,highway,moderate,0,high,80,0,poor,dry,0
night,weekday,summer,cloudy,poor,rural,moderate,0,high,59,1,good,dry,0
evening,weekend,summer,cloudy,good,rural,straight,0,medium,59,1,good,damaged,1
night,weekend,summer,cloudy,medium,rural,sharp,0,medium,27,1,poor,wet,1
afternoon,weekend,winter,cloudy,poor,highway,sharp,0,low,70,1,poor,damaged,1
night,weekday,monsoon,fog,poor,urban,moderate,1,low,57,1,poor,wet,1
morning,weekday,summer,cloudy,medium,highway,moderate,1,low,90,1,good,wet,0
evening,weekday,monsoon,heavy_rain,good,rural,moderate,1,medium,20,1,good,damaged,1
afternoon,weekend,winter,cloudy,poor,urban,moderate,1,medium,88,1,good,dry,0
evening,weekend,winter,cloudy,poor,rural,straight,1,medium,34,0,poor,damaged,1
evening,weekend,summer,fog,good,urban,moderate,1,low,63,0,poor,wet,0
afternoon,weekday,monsoon,fog,medium,urban,sharp,1,medium,66,1,poor,wet,1
evening,weekend,summer,fog,medium,rural,sharp,1,low,57,1,poor,wet,0
morning,weekday,winter,heavy_rain,medium,urban,moderate,1,medium,66,1,good,wet,0
night,weekday,summer,rain,medium,highway,straight,1,low,70,1,poor,dry,0
evening,weekend,summer,heavy_rain,good,highway,straight,0,low,27,0,poor,wet,0
night,weekday,winter,heavy_rain,poor,highway,straight,1,high,53,1,good,dry,1
afternoon,weekday,winter,fog,medium,rural,sharp,0,high,77,0,good,wet,0
evening,weekday,winter,heavy_rain,medium,urban,moderate,1,medium,35,0,good,wet,0
morning,weekend,summer,cloudy,medium,rural,moderate,0,medium,70,0,good,wet,1
night,weekend,monsoon,rain,good,urban,straight,1,medium,40,0,good,dry,1
morning,weekday,winter,clear,medium,rural,moderate,1,low,25,0,good,damaged,0
morning,weekday,summer,fog,good,highway,sharp,1,low,38,0,good,dry,0
afternoon,weekend,winter,heavy_rain,medium,highway,sharp,0,medium,56,1,good,wet,0
morning,weekend,winter,clear,medium,urban,straight,1,low,65,1,good,dry,0
night,weekend,summer,rain,medium,highway,straight,0,low,29,1,poor,damaged,0
morning,weekend,monsoon,fog,poor,urban,sharp,1,low,61,1,good,damaged,1
afternoon,weekend,summer,cloudy,good,urban,sharp,1,low,35,0,poor,wet,0
night,weekend,summer,cloudy,good,urban,sharp,1,low,24,0,good,damaged,1
evening,weekend,summer,rain,good,rural,sharp,1,medium,36,0,poor,wet,1
evening,weekend,summer,heavy_rain,good,urban,straight,0,medium,83,0,good,dry,0
evening,weekend,monsoon,rain,good,highway,straight,0,high,87,0,good,damaged,0
afternoon,weekday,winter,fog,poor,urban,sharp,1,medium,58,0,poor,dry,1
afternoon,weekday,summer,heavy_rain,poor,urban,sharp,0,medium,59,0,good,dry,0
evening,weekday,summer,heavy_rain,medium,urban,moderate,1,medium,23,1,good,damaged,0
evening,weekend,monsoon,fog,poor,urban,moderate,0,high,63,0,poor,wet,0
afternoon,weekend,summer,heavy_rain,good,rural,sharp,1,low,71,1,poor,wet,1
evening,weekday,winter,cloudy,medium,urban,straight,1,high,49,1,poor,damaged,0
evening,weekend,summer,fog,poor,highway,sharp,0,medium,50,0,poor,damaged,1
evening,weekday,summer,heavy_rain,poor,rural,sharp,1,low,30,0,good,damaged,0
morning,weekday,monsoon,heavy_rain,poor,highway,straight,1,high,70,0,poor,damaged,1
afternoon,weekend,summer,heavy_rain,medium,highway,straight,0,low,89,1,good,damaged,0
afternoon,weekend,monsoon,rain,poor,rural,moderate,0,medium,68,1,good,dry,0
afternoon,weekend,summer,clear,medium,urban,straight,1,high,78,1,good,dry,0
evening,weekend,winter,fog,medium,rural,moderate,0,high,90,1,poor,dry,1
morning,weekday,winter,cloudy,poor,rural,sharp,0,medium,43,1,good,dry,1
morning,weekend,winter,heavy_rain,good,urban,moderate,1,low,85,0,good,dry,0
morning,weekday,winter,fog,poor,urban,moderate,0,medium,66,0,good,wet,0
evening,weekday,monsoon,fog,poor,rural,straight,0,low,35,0,poor,dry,0
night,weekend,monsoon,cloudy,poor,urban,sharp,0,medium,67,0,poor,dry,0
morning,weekday,monsoon,heavy_rain,medium,urban,sharp,0,low,46,0,poor,dry,0
afternoon,weekend,winter,clear,good,rural,straight,1,medium,57,1,poor,damaged,1
morning,weekday,monsoon,fog,poor,rural,moderate,0,medium,33,1,good,dry,0
morning,weekday,winter,rain,medium,highway,straight,0,medium,44,0,poor,damaged,0
night,weekday,monsoon,cloudy,medium,highway,sharp,1,low,40,0,poor,damaged,0
morning,weekend,winter,fog,good,highway,moderate,0,low,77,0,good,wet,0
afternoon,weekend,monsoon,clear,medium,urban,straight,0,high,35,0,poor,dry,0
evening,weekend,winter,rain,good,highway,sharp,1,high,35,1,good,damaged,0
morning,weekday,summer,clear,poor,urban,straight,1,high,40,0,poor,dry,0
evening,weekend,monsoon,cloudy,good,highway,straight,1,medium,58,1,poor,dry,1
morning,weekend,winter,heavy_rain,poor,rural,straight,1,high,36,0,good,damaged,1
morning,weekday,monsoon,fog,good,urban,sharp,0,medium,59,1,poor,wet,1
night,weekend,winter,cloudy,good,highway,sharp,0,high,75,0,good,damaged,1
night,weekday,winter,rain,good,rural,sharp,0,high,71,1,poor,wet,0
night,weekend,winter,cloudy,poor,urban,straight,1,low,34,0,poor,damaged,0
night,weekend,summer,clear,poor,urban,straight,0,high,68,1,good,wet,0
night,weekend,winter,heavy_rain,good,urban,moderate,0,low,28,0,good,dry,1
afternoon,weekday,winter,clear,good,rural,straight,0,medium,30,1,good,dry,0
afternoon,weekday,monsoon,fog,good,urban,straight,1,low,84,0,poor,wet,0
morning,weekday,summer,fog,poor,highway,straight,1,low,75,1,good,damaged,0
afternoon,weekday,winter,fog,poor,highway,sharp,0,low,24,1,good,dry,1
night,weekend,winter,fog,good,rural,moderate,1,high,67,0,poor,dry,0
morning,weekday,summer,heavy_rain,medium,urban,straight,0,high,55,1,poor,damaged,0
evening,weekend,monsoon,fog,poor,highway,moderate,0,medium,21,1,good,damaged,0
evening,weekday,winter,cloudy,poor,rural,straight,0,medium,33,1,poor,wet,0
morning,weekend,monsoon,heavy_rain,poor,urban,straight,1,high,29,1,poor,wet,0
evening,weekend,winter,rain,poor,urban,sharp,0,medium,70,1,good,damaged,0
evening,weekday,winter,clear,poor,highway,moderate,0,medium,40,0,poor,dry,0
evening,weekend,winter,cloudy,poor,rural,sharp,1,high,50,1,good,dry,0
evening,weekend,summer,fog,good,rural,straight,1,high,73,0,poor,damaged,1
morning,weekday,summer,clear,good,highway,straight,1,medium,28,0,poor,damaged,0
evening,weekend,monsoon,heavy_rain,medium,urban,moderate,0,medium,37,1,poor,dry,0
afternoon,weekday,summer,rain,medium,urban,straight,0,high,90,1,poor,damaged,0
afternoon,weekday,summer,cloudy,medium,rural,sharp,1,low,32,0,good,dry,0
evening,weekend,winter,clear,good,rural,moderate,1,medium,77,1,poor,wet,1
morning,weekday,winter,fog,medium,rural,moderate,1,medium,47,1,poor,dry,1
afternoon,weekday,winter,clear,poor,rural,moderate,0,high,40,1,poor,wet,0
night,weekday,winter,cloudy,medium,urban,sharp,0,medium,42,1,good,wet,0
night,weekend,winter,clear,good,rural,moderate,0,low,90,0,poor,dry,1
evening,weekend,monsoon,heavy_rain,poor,rural,moderate,1,low,58,0,poor,damaged,0
morning,weekend,winter,fog,good,urban,sharp,1,high,81,1,good,dry,0
afternoon,weekend,monsoon,fog,good,rural,sharp,0,low,76,0,poor,dry,0
night,weekday,summer,rain,medium,highway,sharp,0,low,26,1,good,wet,0
morning,weekday,winter,cloudy,poor,urban,straight,1,high,82,1,good,damaged,1
night,weekday,monsoon,fog,good,rural,moderate,0,low,44,1,poor,dry,1
afternoon,weekend,winter,clear,medium,highway,sharp,1,high,49,0,good,damaged,0
morning,weekend,summer,clear,good,highway,sharp,1,medium,79,1,good,dry,0
night,weekday,monsoon,fog,poor,rural,straight,0,low,82,0,poor,wet,0
night,weekday,summer,cloudy,poor,rural,sharp,0,medium,69,0,poor,damaged,1
morning,weekend,summer,clear,poor,rural,moderate,0,medium,47,1,good,wet,1
evening,weekend,summer,heavy_rain,good,urban,moderate,1,low,79,0,poor,dry,0
afternoon,weekend,summer,fog,medium,highway,moderate,1,low,61,1,poor,damaged,0
evening,weekend,summer,rain,good,urban,sharp,0,low,76,1,poor,dry,0
morning,weekend,summer,rain,medium,rural,straight,0,medium,82,1,poor,wet,0
afternoon,weekend,monsoon,cloudy,medium,urban,moderate,1,medium,90,0,good,dry,0
morning,weekend,summer,cloudy,poor,rural,sharp,0,high,24,0,good,damaged,0
night,weekend,monsoon,rain,good,urban,straight,0,medium,53,0,poor,dry,0
evening,weekend,summer,rain,good,rural,moderate,1,low,44,1,good,dry,0
afternoon,weekday,summer,clear,poor,urban,sharp,1,high,52,1,poor,damaged,0
evening,weekend,summer,heavy_rain,medium,urban,sharp,1,medium,81,1,poor,damaged,1
night,weekend,winter,fog,medium,highway,moderate,1,medium,20,0,good,damaged,0
afternoon,weekend,summer,cloudy,medium,highway,sharp,1,medium,63,1,poor,dry,0
afternoon,weekend,summer,fog,poor,highway,sharp,0,low,51,1,poor,damaged,1
evening,weekend,winter,rain,medium,highway,sharp,1,medium,89,0,good,wet,0
morning,weekday,summer,clear,poor,urban,moderate,0,high,85,0,poor,dry,0
afternoon,weekday,monsoon,rain,medium,urban,sharp,1,high,65,0,good,damaged,0
night,weekday,summer,heavy_rain,medium,urban,straight,1,low,21,1,good,dry,0
afternoon,weekday,winter,rain,good,rural,sharp,1,low,29,0,poor,dry,0
night,weekday,monsoon,fog,medium,highway,sharp,1,medium,25,0,good,dry,1
night,weekend,winter,clear,good,urban,sharp,1,low,74,1,good,damaged,1
night,weekend,winter,heavy_rain,poor,highway,straight,1,high,74,0,poor,damaged,1
morning,weekend,summer,heavy_rain,good,rural,straight,0,low,49,1,poor,damaged,0
morning,weekend,summer,heavy_rain,good,rural,straight,0,low,69,1,poor,dry,0
night,weekday,monsoon,cloudy,poor,rural,straight,1,medium,29,1,good,wet,0
morning,weekend,summer,fog,good,highway,straight,1,high,72,1,good,wet,0
night,weekend,summer,clear,medium,urban,sharp,1,high,23,0,poor,wet,1
night,weekday,monsoon,rain,poor,rural,straight,0,high,36,1,good,damaged,0
afternoon,weekday,monsoon,cloudy,medium,rural,straight,1,high,26,0,good,dry,0
afternoon,weekend,summer,cloudy,poor,urban,sharp,1,medium,47,0,good,wet,1
night,weekend,monsoon,clear,poor,rural,moderate,0,low,54,1,poor,wet,1
evening,weekend,winter,rain,good,urban,straight,0,high,43,0,good,damaged,0
morning,weekend,summer,heavy_rain,medium,rural,sharp,1,medium,32,0,good,wet,0
afternoon,weekday,summer,clear,good,highway,moderate,0,low,85,0,good,dry,0
night,weekday,summer,heavy_rain,medium,rural,straight,0,high,85,1,poor,damaged,0
night,weekday,winter,rain,good,urban,sharp,0,low,68,1,poor,damaged,1
morning,weekend,summer,cloudy,good,highway,moderate,0,low,56,1,good,damaged,0
morning,weekday,winter,clear,good,highway,moderate,1,low,31,0,good,damaged,0
afternoon,weekend,monsoon,rain,poor,urban,straight,0,low,64,0,poor,wet,0
morning,weekend,summer,clear,poor,highway,sharp,0,low,57,0,poor,dry,0
evening,weekday,winter,fog,medium,rural,straight,1,high,87,0,poor,damaged,0
afternoon,weekend,summer,rain,good,rural,moderate,1,high,73,0,good,damaged,0
morning,weekday,monsoon,clear,medium,highway,moderate,0,low,27,1,good,damaged,0
afternoon,weekend,summer,cloudy,medium,urban,straight,1,medium,20,1,good,damaged,0
evening,weekday,monsoon,rain,good,urban,moderate,0,low,30,1,good,wet,0
evening,weekend,winter,clear,poor,urban,straight,0,medium,39,1,poor,damaged,0
afternoon,weekday,winter,clear,medium,highway,straight,0,low,46,0,good,dry,0
afternoon,weekend,monsoon,cloudy,medium,rural,sharp,1,medium,45,0,poor,damaged,1
night,weekday,monsoon,fog,medium,urban,moderate,1,medium,33,0,poor,damaged,0
evening,weekday,winter,fog,medium,urban,straight,1,low,56,0,good,wet,0
afternoon,weekend,summer,fog,poor,highway,sharp,0,high,87,1,poor,damaged,1
morning,weekend,winter,rain,good,rural,sharp,1,medium,84,0,good,wet,1
afternoon,weekday,summer,clear,good,highway,straight,1,low,21,0,good,wet,1
night,weekend,monsoon,cloudy,poor,urban,moderate,1,medium,52,0,poor,wet,0
night,weekday,monsoon,heavy_rain,good,highway,sharp,1,low,88,0,good,dry,0
evening,weekend,winter,heavy_rain,good,rural,straight,0,high,85,1,good,damaged,0
night,weekend,summer,fog,poor,urban,straight,0,low,31,1,good,damaged,0
night,weekend,monsoon,fog,medium,highway,sharp,0,high,74,0,good,wet,0
night,weekday,summer,clear,good,rural,sharp,0,medium,86,0,poor,damaged,0
morning,weekend,summer,cloudy,good,highway,sharp,1,high,31,1,good,wet,0
afternoon,weekday,winter,rain,good,urban,straight,0,low,65,0,good,damaged,0
morning,weekday,summer,fog,medium,highway,moderate,0,medium,61,1,poor,wet,0
evening,weekday,winter,fog,poor,highway,moderate,0,medium,44,0,poor,wet,0
evening,weekday,monsoon,rain,poor,urban,moderate,0,medium,66,1,poor,dry,0
afternoon,weekday,summer,cloudy,good,highway,sharp,0,high,79,0,good,dry,1
night,weekday,monsoon,cloudy,good,urban,sharp,0,medium,54,0,poor,damaged,1
afternoon,weekend,monsoon,fog,poor,urban,straight,1,high,29,0,good,damaged,0
evening,weekend,monsoon,rain,good,urban,moderate,1,low,80,1,poor,damaged,1
morning,weekday,summer,fog,medium,rural,moderate,1,high,27,1,poor,dry,0
evening,weekday,winter,clear,good,highway,moderate,0,low,58,0,good,damaged,0
evening,weekend,summer,clear,good,urban,moderate,1,low,39,0,poor,wet,0
night,weekday,winter,clear,poor,highway,sharp,1,medium,90,0,good,wet,1
night,weekday,monsoon,heavy_rain,poor,rural,straight,1,low,55,0,poor,damaged,0
evening,weekday,monsoon,rain,good,highway,sharp,0,low,74,1,poor,dry,1
morning,weekend,winter,heavy_rain,good,highway,moderate,0,medium,43,1,good,wet,0
evening,weekend,monsoon,rain,medium,highway,moderate,0,high,26,1,good,dry,0
evening,weekday,summer,cloudy,medium,urban,sharp,1,high,74,0,poor,damaged,1
evening,weekday,summer,cloudy,good,highway,sharp,0,medium,65,1,good,wet,1
morning,weekday,monsoon,fog,good,urban,straight,0,medium,81,0,poor,damaged,0
morning,weekday,summer,fog,good,urban,moderate,1,low,87,0,poor,wet,0
afternoon,weekday,monsoon,fog,good,urban,moderate,0,high,52,0,good,damaged,0
evening,weekend,summer,cloudy,good,rural,sharp,1,low,37,1,good,damaged,0
morning,weekend,monsoon,clear,poor,highway,moderate,1,low,86,0,good,dry,0
afternoon,weekday,summer,clear,medium,rural,moderate,0,low,82,1,poor,wet,0
afternoon,weekday,winter,fog,medium,rural,sharp,0,medium,86,1,good,wet,1
afternoon,weekend,winter,rain,medium,urban,moderate,0,high,84,1,good,wet,1
evening,weekday,summer,clear,poor,urban,sharp,1,low,42,0,good,dry,0
evening,weekend,winter,heavy_rain,good,highway,moderate,1,medium,61,0,poor,damaged,0
night,weekend,summer,heavy_rain,good,rural,straight,1,medium,52,0,poor,dry,0
afternoon,weekday,summer,heavy_rain,poor,urban,straight,1,low,20,1,poor,wet,1
